ident,type,name,latitude_deg,longitude_deg,iso_country,iso_region
OMAA,large_airport,Abu Dhabi International Airport,24.43300056,54.65110016,AE,AE-AZ
OMAC,closed,Asab Airfield,23.29809952,54.22169876,AE,AE-AZ
OMAD,medium_airport,Bateen Airport,24.42830086,54.45809937,AE,AE-AZ
OMAL,medium_airport,Al Ain International Airport,24.26169968,55.60919952,AE,AE-AZ
OMAM,medium_airport,Al Dhafra Air Base,24.24819946,54.54769897,AE,AE-AZ
OMBY,medium_airport,Sir Bani Yas Airport,24.283611,52.580278,AE,AE-AZ
OMDB,large_airport,Dubai International Airport,25.25279999,55.36439896,AE,AE-DU
OMDM,medium_airport,Al Minhad Air Base,25.02680016,55.36619949,AE,AE-DU
OMDW,large_airport,Al Maktoum International Airport,24.896356,55.161389,AE,AE-DU
OMFJ,medium_airport,Fujairah International Airport,25.11219978,56.32400131,AE,AE-FU
OMRK,medium_airport,Ras Al Khaimah International Airport,25.6135006,55.93880081,AE,AE-RK
OMSJ,large_airport,Sharjah International Airport,25.32859993,55.51720047,AE,AE-SH
TAPA,medium_airport,V.C. Bird International Airport,17.1367,-61.792702,AG,AG-03
TQPF,medium_airport,Clayton J Lloyd International Airport,18.2048,-63.055099,AI,AI-U-A
AL-0001,closed,Lapraka Heliport,41.333302,19.7913,AL,AL-11
AL-0002,closed,Aeroporti i Korroticës së Ulët,42.6051923,20.9096986,AL,AL-U-A
AL-0003,closed,Aeroporti i Mifoit,40.6061798,19.4262538,AL,AL-U-A
AL-LA10,closed,Gjirokastër Airport,40.087889,20.151917,AL,AL-05
LAGJ,closed,Gjadër Air Base,41.895199,19.5987,AL,AL-08
LAKU,medium_airport,Kukës Airport,42.03369904,20.41589928,AL,AL-07
LAKV,medium_airport,Kuçovë Air Base,40.77190018,19.90189934,AL,AL-01
LASK,closed,Shkodër Airport,42.089361,19.509111,AL,AL-10
LATI,large_airport,Tirana International Airport Mother Teresa,41.41469955,19.72060013,AL,AL-11
LAVL,medium_airport,Vlorë Air Base,40.47610092,19.4741993,AL,AL-12
AM-0001,closed,Kapan Airport,39.20299912,46.45500183,AM,AM-SU
AM-0005,closed,Gavar Airport,40.37120115,45.097332,AM,AM-GR
AM-0006,closed,Mets Mazrik Airstrip,40.19985489,45.77711105,AM,AM-GR
AM-0007,closed,Meghri Airport,38.91157257,46.19892597,AM,AM-SU
UDSG,medium_airport,Gyumri Shirak Airport,40.75040054,43.85929871,AM,AM-SH
UDYE,medium_airport,Erebuni Airport,40.12210083,44.46500015,AM,AM-ER
UDYZ,large_airport,Zvartnots International Airport,40.14730072,44.39590073,AM,AM-ER
UGEJ,medium_airport,Dzhermuk Airport,39.82400131,45.67399979,AM,AM-VD
AO-0009,closed,Cuangar Old Airport,-17.599985,18.623552,AO,AO-CCU
AO-0010,closed,Savate Airport,-16.880647,18.002593,AO,AO-CCU
AO-0013,closed,Luiana Airport,-17.380791,23.002339,AO,AO-CCU
AO-0014,closed,Coutada Airport,-17.017654,21.301774,AO,AO-CCU
